FoodName,Spiselig del %,Vann,Kilojoule kJ,Kilokalorier kcal,Fett,Mettet,C12:0 g,C14:0,C16:0,C18:0,Trans,Enumettet,C16:1 sum,C18:1 sum,Flerumettet,C18:2n-6,C18:3n-3,C20:3n-3,C20:3n-6,C20:4n-3,C20:4n-6,C20:5n-3 (EPA),C22:5n-3 (DPA),C22:6n-3 (DHA),Omega-3,Omega-6,Kolesterol mg,Karbohydrat,Stivelse,Mono+disakk,"Sukker, tilsatt",Kostfiber,Protein,Salt,Alkohol,Vitamin A RAE,Retinol µg,Beta-karoten µg,Vitamin D µg,Vitamin E alfa-TE,Tiamin mg,Riboflavin mg,Niacin mg,Vitamin B6 mg,Folat µg,Vitamin B12 µg,Vitamin C mg,Kalsium mg,Jern mg,Natrium mg,Kalium mg,Magnesium mg,Sink mg,Selen µg,Kopper mg,Fosfor mg,Jod µg
"Scones, grove, med yoghurt",100,39,1088,258,5,1.4,0.05,0.16,0.74,0.21,0,0.9,0.04,0.83,2,1.67,0.28,0,0,0,0,0,0,0,0.27,1.66,4,40.7,34.8,6,0,6,9.6,1.7,0,18,17,9,0,0.5,0.23,0.12,1.7,0.12,13,0.2,0,134,2.2,667,321,60,2,2,0.19,465,8
"Tebriks, tebirkes",100,35,1273,303,9.7,5.4,0.24,0.8,2.54,0.89,0.2,2.3,0.22,1.98,0.9,0.77,0.07,0,0,0,0.01,0,0,0.01,0.07,0.71,38,43.1,41.4,1.7,0.6,3,9.2,0.6,0,72,68,39,1.1,0.8,0.23,0.13,1.4,0.1,48,0.2,1,45,1,250,188,27,1.2,3,0.11,127,7
"Baguett, glutenfri, Semper",100,36,1148,272,3.5,1,0,0.02,0.81,0.11,0,1.7,0.05,1.56,0.6,0.49,0.13,0,0,0,0,0,0,0,0.13,0.49,2,55,46,9,5,2,4,3,0,0,0,0,0,0.7,0.25,0.23,0.9,0.06,47,0.3,1,126,0.1,1200,166,15,0.6,2,0.1,248,10
"Brød, ekstra grovt (75-100 %), karbohydratredusert, kjøpt, Fiber og frø",100,44,1088,260,11,1.2,0.03,0.08,0.97,0.3,0,2.3,0.08,3.89,6.3,3.27,1,0,0,0,0,0,0,0,1.08,3.51,0,19.7,18.8,0.9,0,10,15.9,1,0,0,0,2,0,2.4,0.28,0.13,2.8,0.11,47,0,0,115,4,400,314,114,2.6,10,0.61,346,1
"Brød, ekstra grovt (75-100 %), kjøpt",100,46,907,215,2.2,0.3,0,0,0.24,0.08,0,0.5,0,0.51,1,0.87,0.11,0,0,0,0,0,0,0,0.11,0.87,0,34.2,31.5,2.7,0.3,6,11.6,1.1,0,0,0,0,0,0.7,0.24,0.1,2,0.11,32,0,,48,2,430,260,65,1.7,2,0.25,205,3
"Brød, ekstra grovt (75-100 %), kjøpt, Grovbrød uten hele korn",100,44,954,226,3.3,0.8,0.02,0.01,0.16,0.06,0,0.2,0.01,0.41,0.6,0.75,0.15,0,0,0,0,0,0,0,0.15,0.75,0,35.3,33,2.3,0,7,10.5,1,0,3,3,3,0,1.1,0.29,0.11,3.3,0.11,41,0,0,30,2.8,390,272,73,1.8,9,0.28,248,3
"Brød, ekstra grovt (75-100 %), kjøpt, Grovt & Godt Grovbrød",100,46,897,212,2,0.3,0.01,0,0.19,0.08,0,0.4,0,0.41,1.1,0.92,0.17,0,0,0,0,0,0,0,0.17,0.92,0,32.5,29.9,2.6,0,7,12.4,1,0,0,0,0,0,0.8,0.24,0.11,2.4,0.16,38,0,0,47,2.2,380,300,74,1.9,2,0.3,220,3
"Brød, ekstra grovt (75-100 %), kjøpt, Grovt og godt havrebrød",100,43,974,230,2.4,0.4,0,0.01,0.28,0.09,0,0.6,0,0.61,0.9,0.81,0.05,0,0,0,0,0,0,0,0.05,0.81,0,39.2,36.3,2.9,0,4,10.8,1.2,0,0,0,0,0,0.5,0.24,0.09,1.5,0.06,25,0,,48,1.8,480,220,56,1.4,2,0.19,190,3
"Brød, ekstra grovt (75-100 %), kjøpt, Havrebrød",100,47,925,219,4,0.5,0,0,0.3,0.05,0,1.5,0.02,1.44,1,0.98,0.17,0,0,0,0,0,0,0,0.17,0.98,0,32,31,1,0,6,11,0.8,0,0,0,1,0,1.5,0.22,0.09,2.8,0.08,32,0,0,33,2.7,300,249,75,1.6,7,0.25,269,1
"Brød, glutenfritt, Semper formbrød",100,41,1041,247,4.4,0.6,0,0,0.3,0.14,0,1.3,0.02,1.3,2.5,2.44,0.01,0,0,0,0,0,0,0,0.02,2.44,,45.9,38.2,7.7,7.7,6,2.9,2.1,0,,,,0,3,0.06,0.15,0.9,0.03,23,0,0,28,0.9,820,170,18,0.8,5,0.12,86,2
"Brød, grovt (50-75 %), kjøpt",100,41,1001,237,2.3,0.3,0,0,0.21,0.04,0,0.9,0,0.86,0.9,0.76,0.15,0,0,0,0,0,0,0,0.15,0.76,0,42.2,39.4,2.8,0.1,6,9,1.2,0,0,0,0,0,0.6,0.21,0.09,2,0.11,24,0,,25,1.6,490,228,47,1.3,2,0.2,160,1
"Brød, grovt (50-75 %), kjøpt, First Price kneipp",100,39,1040,246,2.2,0.2,0,0,0.2,0.03,0,0.9,0,0.86,0.9,0.79,0.15,0,0,0,0,0,0,0,0.15,0.79,0,45.3,43.4,1.9,0,5,8.6,1.5,0,0,0,0,0,0.6,0.21,0.08,2.1,0.11,23,0,0,24,1.5,580,200,41,1.2,2,0.21,140,1
"Brød, grovt (50-75 %), kjøpt, Istidbrød",100,40,980,232,2.3,0.5,0.02,0.01,0.29,0.04,0,0.5,0.02,0.5,0.8,0.86,0.06,0,0,0,0,0,0,0,0.06,0.86,0,42.3,40.9,1.4,0.1,5,8.1,1.3,0,1,1,1,0,0.9,0.23,0.07,2.5,0.08,27,0,0,20,1.9,510,209,56,1.4,5,0.18,189,1
"Brød, grovt (50-75 %), kjøpt, Josefinebrød",100,39,1034,245,2.3,0.6,0.03,0.01,0.29,0.05,0,0.5,0.01,0.52,0.8,0.89,0.07,0,0,0,0,0,0,0,0.07,0.89,0,44.3,42.8,1.5,0,5,9,1.1,0,,2,1,0,0.9,0.22,0.07,1.9,0.08,21,0,0,20,1.8,440,209,54,1.3,4,0.18,201,1
"Brød, grovt (50-75 %), kjøpt, Løvebrølbrød",100,34,1037,246,4.4,0.4,0.01,0.01,0.28,0.09,0,0.7,0.01,0.98,1.9,1.53,0.06,0,0,0,0,0,0,0,0.06,1.53,0,41.4,40,1.4,0,5,7.5,1,0,1,1,2,0,1.6,0.3,0.08,2.2,0.1,32,0,0,22,2,400,230,62,1.5,7,0.23,207,1
"Brød, grovt (50-75 %), kjøpt, Norsk Fjellbrød",100,39,1046,248,2.8,0.3,0,0,0.21,0.04,0,1.1,0,1.1,1,0.81,0.18,0,0,0,0,0,0,0,0.18,0.81,0,44,41.4,2.6,0,6,8.5,1,0,0,0,0,0,0.8,0.17,0.08,2,0.12,20,0,0,20,1.6,400,230,50,1.2,2,0.21,170,2
"Brød, grovt (50-75 %), kjøpt, Pågen kjernesunt brød",100,43,968,229,2.7,0.3,0,0,0.22,0.03,0,1.1,0.01,1.04,1,0.82,0.18,0,0,0,0,0,0,0,0.18,0.82,0,38.1,35,3.1,0,6,10.3,1.2,0,0,0,0,0,0.6,0.17,0.09,1.5,0.09,19,0,0,20,1.6,460,230,53,1.3,3,0.2,170,1
"Brød, grovt (50-75 %), kjøpt, Skibrød",100,36,992,235,2,0.6,0.01,0.01,0.2,0.03,0,0.2,0.01,0.29,0.6,0.77,0.06,0,0,0,0,0,0,0,0.06,0.77,0,41.7,39.8,1.9,0.2,6,9.6,1.2,0,1,1,1,0,0.6,0.25,0.07,2.9,0.08,27,0,0,25,2.1,460,221,56,1.5,6,0.2,190,1
"Brød, grovt (50-75 %), kjøpt, Speltbrød",100,42,1103,263,8.1,0.8,0,0,0.49,0.19,0,3.2,0.04,3.18,3.3,2.94,0.24,0,0,0,0,0,0,0,0.24,2.94,0,33.2,30.1,3.1,1.6,6,11.4,1,0,0,0,3,0,4,0.48,0.15,2,0.2,71,0,0,28,2,404,222,66,1.5,8,0.28,218,1
"Brød, grovt (50-75 %), kjøpt, Superbrød",100,43,951,225,1.6,0.3,0,0,0.2,0.05,0,0.5,0,0.44,0.7,0.62,0.09,0,0,0,0,0,0,0,0.09,0.62,0,41.3,37.6,3.7,0,6,8.5,1.3,0,0,0,0,0,0.6,0.3,0.11,2.2,0.12,34,0,0,37,1.6,520,250,45,1.3,2,0.19,160,1
"Brød, grovt, glutenfritt, Fria",100,38,1056,250,2.5,0.6,0,0.01,0.48,0.07,0,1,0.04,0.96,0.7,0.35,0.34,0,0,0,0,0,0,0,0.34,0.35,0,53,46.2,6.8,6.7,6,0.9,1.2,0,0,0,1,0,0.5,0.24,0.08,0.9,0.04,48,0,0,42,1.7,467,169,12,0.2,0,0.03,45,0
"Brød, halvgrovt (25-50 %), kjøpt",100,43,978,231,2.4,0.4,0.03,0.01,0.28,0.04,0,0.4,0.01,0.49,1,0.84,0.07,0,0,0,0,0,0,0,0.07,0.84,0,42.2,40.8,1.4,0,5,8,1.1,0,1,1,1,0,0.8,0.22,0.09,2,0.09,32,0,0,26,1.8,428,208,49,1.3,5,0.2,173,1
"Brød, halvgrovt (25-50 %), kjøpt, Jegerbrød",100,42,1004,238,3,0.3,0,0,0.22,0.05,0,0.7,0,0.65,1,0.9,0.1,0,0,0,0,0,0,0,0.1,0.9,0,41.7,40.5,1.2,0,5,8.6,1.2,0,0,0,0,0,1,0.32,0.11,1.6,0.07,32,0,,31,1.6,490,220,55,1.3,2,0.22,170,1
"Brød, halvgrovt (25-50 %), kjøpt, Kneippbrød",100,42,981,232,1.5,0.2,,,,,0,0.2,,,0.6,,,0,0,0,0,0,0,0,0.12,0.75,0,45.5,45.2,0.3,0,4,7.1,1,0,1,1,1,0,0.6,0.21,0.08,2.2,0.08,31,0,0,17,1.7,400,192,45,1.1,5,0.18,162,1
"Brød, halvgrovt (25-50 %), kjøpt, Odelsbrød",100,39,1036,245,1.9,0.4,0.01,0.01,0.2,0.03,0,0.3,0.01,0.39,0.8,0.71,0.11,0,0,0,0,0,0,0,0.11,0.71,0,46.5,45,1.5,0,5,8.2,1.3,0,1,1,1,0,0.6,0.22,0.09,1,0.07,32,0,0,16,1.3,500,178,34,1.2,4,0.13,140,1
"Brød, halvgrovt (25-50 %), kjøpt, Yoghurtbrød",100,44,941,222,1.5,0.2,0.01,0.01,0.17,0.02,0,0.2,0.01,0.17,0.6,0.54,0.04,0,0,0,0,0,0,0,0.04,0.54,0,41.7,40.5,1.2,0,4,8.3,1,0,1,1,1,0,0.6,0.21,0.1,2.8,0.1,37,0.1,0,39,1.9,410,242,56,1.3,5,0.2,191,1
"Ciabatta, glutenfri, Schär",100,33,1201,286,7.2,0.8,0,0,0.47,0.24,0,2.4,0.05,2.4,3.5,2.32,1.15,0,0,0,0,0,0,0,1.15,2.32,0,44.6,38.6,6,3,10,6,0.8,0,0,0,0,0,3,0.43,0.13,1.6,0.14,66,0,0,22,1.3,323,238,48,1,0,0.21,109,0
"Hamburgerbrød, fint, kjøpt",100,34,1274,303,8.3,0.7,0,0,0.49,0.13,0,4.2,0.03,4.21,2.7,1.96,0.58,0,0,0,0,0,0,0,0.58,1.96,0,49.5,43.6,5.9,4.9,2,6.6,0.7,0,0,0,2,0,1.8,0.15,0.06,1,0.06,32,0,0,12,0.6,276,107,13,0.7,3,0.1,102,1
"Loff, fint brød (0-25 %), formstekt, kjøpt",100,38,1085,256,2.9,1,0.12,0.1,0.33,0.21,0,0.7,0.07,0.65,0.8,0.44,0.07,0,0,0,0,0,0,0,0.07,0.44,7,46.6,44.4,2.2,0,3,9.4,1,0,,0,0,0,0.5,0.13,0.11,1.3,0.06,22,0,0,25,1,399,136,25,0.8,3,0.17,120,0
"Loff, fint brød (0-25 %), halvstekt, stekt",100,34,1098,259,1.6,0.5,0.06,0.05,0.17,0.11,0,0.3,0.03,0.34,0.5,0.23,0.04,0,0,0,0,0,0,0,0.04,0.23,4,50.2,47.4,2.9,0,4,9.1,0.9,0,0,0,3,0,0.5,0.22,0.13,1.2,0.09,31,0,0,25,1.1,373,156,27,0.6,2,0.13,123,0
"Loff, fint brød (0-25 %), kjøpt",100,35,1120,265,2.2,0.6,0.19,0.08,0.24,0.03,0,0.6,0.01,0.56,0.8,0.73,0.09,0,0,0,0,0,0,0,0.09,0.73,0,50.4,50.2,0.2,0,4,9.1,0.9,0,0,0,0,0,0.6,0.19,0.05,1.1,0.09,22,0,1,16,0.9,366,152,28,0.8,1,0.12,97,0
"Loff, fint brød (0-25 %), spiral, kjøpt",100,34,1081,256,3.3,1.1,0.12,0.11,0.34,0.22,0,0.8,0.07,0.68,0.8,0.46,0.07,0,0,0,0,0,0,0,0.08,0.46,8,45.4,43.9,1.5,1.3,4,9.2,1,0,0,0,0,0,0.6,0.17,0.11,1.3,0.06,23,0,0,24,1.1,405,132,25,0.8,3,0.13,119,0
"Pitabrød, fint, kjøpt",100,42,967,228,1,0.2,0,0,0.14,0,0,0.1,0.02,0.12,0.5,0.49,0.04,0,0,0,0,0,0,0,0.04,0.49,0,45.3,45,0.2,0,4,7.7,1.1,0,0,0,0,0,0.3,0.21,0.07,1.2,0.08,36,0,1,14,0.9,434,150,25,0.9,1,0.11,91,0
"Polarbrød, hvete",100,26,1326,314,5.1,0.5,0,0,0.35,0.07,0,2.4,0.01,2.45,1.9,1.4,0.35,0,0,0,0,0,0,0,0.35,1.4,0,55.7,50.4,5.4,5.1,3,9.6,0.7,0,0,0,0,0,1.1,0.17,0.04,1,0.08,13,0,1,22,0.9,279,161,30,0.7,1,0.13,96,0
"Potetlompe, potetlefse, kjøpt",100,58,696,164,0.4,0.1,0,0,0.07,0.01,0,0,0,0.04,0.3,0.22,0.03,0,0,0,0,0,0,0,0.03,0.22,0,33.9,32,1.9,0,3,4.8,0.8,0,0,0,0,0,0.2,0.11,0.04,2.2,0.18,21,0,13,15,1,316,619,46,0.5,0,0.17,92,1
"Pumpernikkel, fullkornsbrød, ekstra grovt (75-100 %), kjøpt",100,40,859,204,1.6,0.2,0,0,0.05,0,0,0.3,0.01,0.42,0.6,0.53,0.04,0,0,0,0,0,0,0,0.04,0.53,0,37,33.5,3.5,1.8,10,5.4,0.9,0,0,0,0,0,0.5,0.24,0.15,0.5,0.18,16,0,0,77,3,370,530,75,2.3,1,0.19,198,2
"Pølsebrød, fint, kjøpt",100,33,1282,304,8.2,0.7,0,0,0.49,0.13,0,4.1,0.03,4.16,2.7,1.94,0.57,0,0,0,0,0,0,0,0.57,1.94,0,50.1,42.9,7.2,6.2,2,6.5,0.4,0,0,0,2,0,1.8,0.16,0.07,1,0.06,37,0,0,12,0.6,159,109,12,0.7,3,0.1,103,1
"Rugbrød, fint (0-25 %), kjøpt",100,35,1047,248,2.6,0.9,0.09,0.07,0.35,0.16,0,0.7,0.08,0.6,1,0.77,0.12,0,0,0,0,0,0,0,0.12,0.77,6,45.7,43,2.8,0,5,7.9,1,0,0,0,0,0,0.4,0.18,0.11,1.1,0.12,25,0,0,24,1,401,163,25,0.9,5,0.13,116,1
"Rugbrød, grovt (50-75 %), kjøpt",100,34,1075,255,1.9,0.5,0.15,0.06,0.2,0.02,0,0.5,0.01,0.47,0.7,0.59,0.1,0,0,0,0,0,0,0,0.1,0.59,0,47.4,41.2,6.1,5.5,10,6.7,0.4,0,0,0,0,0,0.5,0.25,0.09,1,0.12,32,0,0,23,1.5,167,281,56,1.6,1,0.18,173,0
"Rundstykke, fint, halvstekt, kjøpt, stekt",100,35,1153,273,3.8,0.9,0.03,0.03,0.94,0.14,0,1,0.03,1.28,1.5,0.78,0.15,0,0,0,0,0,0,0,0.15,0.78,0,48.3,45.6,2.7,0,4,9.6,1.1,0,0,0,0,0,0.3,0.14,0.08,0.8,0.05,43,0,0,25,1.1,445,146,26,0.9,4,0.14,102,0
"Rundstykke, fint, kjøpt",100,33,1169,277,3.3,1,0.38,0.15,0.31,0.05,0,1,0.02,0.97,1,0.87,0.15,0,0,0,0,0,0,0,0.14,0.87,0,50.8,50.5,0.2,0,4,9.2,0.7,0,0,0,0,0,0.9,0.21,0.06,1.3,0.09,30,0,1,16,1,300,158,28,0.9,1,0.12,101,0
"Rundstykke, grovt, halvstekt, kjøpt, stekt",100,29,1219,289,5.3,1.6,0.05,0.05,1.38,0.2,0,2,0.05,1.89,1.4,1.14,0.22,0,0,0,0,0,0,0,0.22,1.14,0,48.7,46,2.7,0,7,8.4,1.3,0,0,0,0,0,1.3,0.22,0.13,1.9,0.07,35,0,0,34,1,519,201,32,1.1,3,0.12,138,0
"Rundstykke, grovt, kjøpt",100,40,1082,257,5.1,1.8,0.71,0.29,0.43,0.09,0,1.8,0.02,1.72,1.3,1.1,0.24,0,0,0,0,0,0,0,0.24,1.1,0,42.1,41.9,0.3,0,5,8.2,0.8,0,0,0,0,0,1.3,0.23,0.07,1.7,0.1,34,0,1,16,1.2,320,178,36,1.1,1,0.13,118,0
"Rundstykker, fiber, glutenfrie, Hatting",100,38,1125,268,6.9,0.7,0,0,0.45,0.21,0,2.2,0.03,2.1,2.9,2.21,0.66,0,0,0,0,0,0,0,0.66,2.21,0,43.7,40.2,3.5,2,7,4,0.9,0,0,0,0,0,1.1,0.25,0.06,1.2,0.1,35,0,0,43,0.8,900,101,46,0.8,3,0.23,110,0
"Rundstykker, fine, glutenfrie, Hatting",100,45,971,229,2,0.2,0,0,0.11,0.03,0,1.1,0.04,1.03,0.5,0.34,0.13,0,0,0,0,0,0,0,0.13,0.34,0,49.9,48.1,1.8,1,1,2.2,1.4,0,0,0,0,0,0.4,0.2,0.09,1,0.05,40,0,0,18,0.1,560,57,8,0.3,0,0.11,47,1
"Tortilla, burrito, hvetemel, Old El Paso",100,29,1074,254,5.4,2,0.01,0.04,1.72,0.3,0,2.1,0.01,2.13,1.1,0.94,0.12,0,0,0,0,0,0,0,0.17,0.94,,42.2,40,2.2,0,1,8.6,1.7,0,0,0,0,0,0.7,0.09,0.02,0.8,0.08,8,0,0,15,0.9,670,180,23,0.6,4,0.13,230,0
"Tortilla, maislefse",100,26,1289,305,3.7,0.4,0,0,0.36,0.08,0,1.5,0.01,1.45,1.4,1.3,0.1,0,0,0,0,0,0,0,0.1,1.3,0,60.9,60.2,0.7,0,5,4.8,1.4,0,7,0,80,0,1.2,0.09,0.04,0.8,0.07,5,0,0,12,1.2,578,145,43,0.8,0,0.09,184,0
"Tortilla, wraps, hvetemel, Santa Maria",100,26,1119,265,4.2,0.6,0,0,0.33,0.29,0,2,0.01,2.06,1.3,1.03,0.31,0,0,0,0,0,0,0,0.31,1.03,,47.4,45.9,1.5,0,2,8.3,1.9,0,0,0,0,0,0.2,0.14,0.02,1,0.08,9,0,0,15,0.8,770,120,21,0.6,0,0.12,82,0
"Tortilla, wraps/burrito, hvetemel",100,28,1098,260,4.8,1.3,0,0,0.36,0.31,0,2,0.01,2.24,1.2,1.12,0.33,0,0,0,0,0,0,0,0.34,1.12,,44.9,43,1.9,0,2,8.5,1.8,0,0,0,0,0,0.4,0.12,0.02,0.9,0.08,8,0,0,15,0.9,720,120,22,0.6,2,0.13,156,0
"Wraps, glutenfri, Bfree",100,40,971,230,2.4,0.2,0,0,0.19,0.04,0,1.1,0.01,1.04,0.8,0.64,0.13,0,0,0,0,0,0,0,0.14,0.65,0,40.7,38,2.7,1.2,11,6,1.4,0,0,0,4,0,0.6,0.12,0.08,0.7,0.14,21,0,0,119,1.7,556,168,42,0.8,6,0.15,192,0
"Wraps, glutenfri, Schär",100,20,1283,306,6.1,2.6,0.01,0.05,2.35,0.24,0,2.2,0.02,2.17,1,0.8,0.01,0,0,0,0,0,0,0,0.02,0.8,0,44.5,39.1,5.4,0,22,7.3,0.8,0,0,0,0,0,2,0.04,0.02,1,0.1,2,0,0,15,1,311,151,21,0.8,0,0.16,88,0
"Flatbrød, havre, kjøpt",100,4,1349,320,4.2,0.6,0,0.01,0.59,0.06,0,1.2,0.01,0.09,1.9,0.43,0.04,0,0,0,1.19,0,0.04,0,0.04,0.43,0,50.9,47.8,3.1,0,12,13.9,1.3,0,0,0,0,0,0.5,0.5,0.1,2.3,0.16,31,0,0,150,3.4,500,420,135,3,2,0.4,300,2
"Flatbrød, hjemmebakt type, kjøpt",100,10,1450,343,1.6,0.3,0.02,0.05,0.25,0.06,0,0.3,0.01,0.18,0.5,0.36,0.04,0,0,0,0,0,0,0,0.04,0.36,0,65.5,62.1,3.4,0,12,10.6,1.3,0,0,0,0,0,0.5,0.37,0.15,2.2,0.16,31,0,0,33,3.1,505,385,88,2.7,4,0.3,261,2
"Flatbrød, kjøpt",100,12,1441,340,1.2,0.3,0,0,0.18,0.01,0,0.2,0,0.12,0.5,0.59,0.07,0,0,0,0,0,0,0,0.07,0.59,0,67.4,64.1,3.3,0,9,10.4,0.9,0,0,0,0,0,0.3,0.29,0.12,1.1,0.13,26,0,0,31,1.7,363,324,64,2.2,4,0.25,229,2
"Kjeks, fet, Cream cracker",100,68,715,171,9.8,3.6,1.53,0.62,0.72,0.2,0,3.7,0.02,3.55,2,1.6,0.45,0,0,0,0,0,0,0,0.46,1.6,0,11.2,0.2,11,11,3,8,2.2,0,0,0,0,0,2.2,0.1,0.04,0.8,0.01,21,0,0,13,1.3,885,14,19,0.7,4,0.12,75,2
"Kjeks, grov, Kornmo",100,7,1767,420,12.9,2,0.24,0.09,0.88,0.55,0,3.5,0,3.43,6.9,6.82,0.08,0,0,0,0,0,0,0,0.1,6.8,0,62.4,49,13.4,12.9,7,10.1,0.3,0,0,0,0,0,5.3,0.27,0.05,2.3,0.14,10,0,1,23,1.8,139,248,60,1.3,1,0.19,174,0
"Kjeks, Kaptein",100,12,1570,372,6.4,1.7,0.02,0.03,1.08,0.51,,2.3,0.01,2.11,0.9,0.87,0.04,0,0,0,0,0,0,0,0.46,0.45,0,61.1,58.5,2.6,1.3,5,14.8,1.4,0,0,0,0,0,0.9,0.17,0.03,1.2,0.14,12,0,0,20,1.4,554,175,26,1.1,5,0.19,105,1
"Kjeks, salt, fet, Ritz, Seltiner",100,11,1951,466,23.4,12.1,3.14,1.33,5.72,1.74,0.1,6.8,0.01,6.01,2.1,1.83,0.06,0,0,0,0,0,0,0,0.09,1.83,0,53.5,46.1,7.4,5.6,4,8.6,2.1,0,0,0,0,0,2.4,0.14,0.06,1.8,0.14,19,0,0,108,1.2,832,170,25,0.7,3,0.13,223,1
"Kjeks, salt, glutenfri, Salti",100,6,1847,439,13,5.7,0.01,0.12,5.16,0.54,0,4.5,0.04,4.53,1.9,1.76,0.12,0,0,0,0,0,0,0,0.12,1.76,0,76.9,69.6,7.3,5,2,2.6,1.7,0,1,0,8,0,4.2,0.03,0.02,0.2,0.03,15,0,0,16,0.4,680,116,18,0.2,0,0.05,60,0
"Kjeks, Start",100,7,1651,390,5.1,0.3,0,0,0.24,0.04,0,0.8,0,0.81,1,0.82,0.14,0,0,0,0,0,0,0,0.14,0.82,0,75,69,6,5,3,9.4,0.1,0,3,3,0,0,0.7,0.07,0.03,1,0.14,10,0,0,21,1.4,41,180,27,0.7,2,0.14,130,1
"Klibrød, med hvetekli",100,12,1226,294,3.2,0.5,0,0,0.19,0.07,0,0.5,0.02,0.83,1.6,0.93,0.51,0,0,0,0,0,0,0,0.51,0.93,0,34,32.4,1.6,0,37,13.7,1.1,0,0,0,0,0,1.5,0.52,0.14,13.8,0.2,138,0,0,89,8.8,440,1018,345,8,5,0.78,667,1
"Knekkebrød, glutenfritt",100,7,1604,380,6.5,2.8,0,0.01,0.48,0.25,,2.9,0.01,2.72,0.7,2.44,0.4,0,0,0,0,0,0,0,0.41,2.44,0,71.1,61.6,3.9,0.1,7,6,2.3,0,1,1,1,0,0,0.1,0.3,1.5,0.41,48,0,0,170,0.6,900,390,34,2,2,0.2,180,2
"Knekkebrød, glutenfritt, laktosefri, sesam og havsalt, Wasa",100,4,1767,420,11.2,1.2,0,0,0.72,0.36,0,5.1,0.03,5.18,3.9,3.27,0.46,0,0,0,0,0,0,0,0.46,3.27,0,69,67.4,1.6,0.5,10,6.1,1.1,0,0,0,3,0,1.6,0.14,0.05,0.9,0.08,39,0,0,147,1.5,453,175,56,1.2,5,0.22,175,0
"Knekkebrød, glutenfritt, Superknäcke chia",100,4,1530,363,2.3,0.3,0,0,0.21,0.05,0,0.6,0,0.63,1.2,0.39,0.63,0,0,0,0,0,0,0,0.63,0.39,0,72.7,72.3,0.4,0,16,4.7,1.3,0,0,0,0,0,0.2,0.07,0.05,0.9,0.08,8,0,0,79,2.7,527,173,54,1,0,0.2,121,0
"Knekkebrød, havre",100,14,1479,351,5.3,1.3,0,0.01,0.63,0.1,0,1.7,0.07,2.04,1.7,1.68,0.11,0,0,0,0,0,0,0,0.12,1.68,0,57.6,55.3,2.3,0,10,13,1.5,0,2,2,0,0,0.5,0.2,0.1,1.3,0.21,55,0,0,105,2.7,600,430,92,2.3,2,0.3,350,2
"Knekkebrød, hjemmelaget",100,16,1782,428,24.3,2.9,0,0,1.79,0.92,0,7.6,0.03,7.55,11.4,8.66,2.71,0,0,0,0,0,0,0,2.71,8.66,0,28.8,27.4,1.5,0,14,16.5,1.2,0,0,0,0,0,6.4,0.72,0.13,2.6,0.28,68,0,0,127,4.5,470,543,222,3.5,8,0.86,499,0
"Knekkebrød, lyst",100,16,1539,365,8.5,2.5,0,0,0.76,0.19,0,3.1,0.03,3.28,2.6,3.54,0.27,0,0,0,0,0,0,0,0.27,3.54,0,58.2,54,4.2,0,6,11,1,0,0,0,5,0,1,0.2,0.1,2,0.17,75,0,0,70,3,400,260,50,1.8,3,0.4,220,2
"Knekkebrød, med ekstra fiber",100,17,1345,322,8,1.3,0,0.01,0.78,0.19,0,2.2,0.06,2,2.9,3.09,0.21,0,0,0,0,0,0,0,0.21,3.09,0,36.5,34,2.5,0,26,13,1.5,0,0,0,0,0,1.5,0.4,0.2,5.2,0.2,56,0,0,160,5.7,600,700,190,4,2,0.7,550,2
"Knekkebrød, Mesterbakeren Original",100,11,1978,476,29,3.4,0,0,2.08,1.08,0,9.6,0.03,9.49,12.8,10.65,2.14,0,0,0,0,0,0,0,2.14,10.7,0,29.9,27.6,2.3,0,14,17,1.5,0,0,0,0,0,5.4,0.45,0.12,2.6,0.31,58,0,0,72,4.6,590,520,230,4.4,11,1,570,2
"Knekkebrød, rug og speltkli, Sigdal helsprøtt",100,13,1902,457,26,3.4,0,0,2.12,1.06,0,8.8,0.03,8.73,14.2,11.61,2.61,0,0,0,0,0,0,0,2.61,11.6,0,32.9,30.5,2.4,0,12,17,1,0,0,0,0,0,6,0.8,0.13,4,0.39,60,0,0,88,5.2,410,630,250,4.7,15,1,640,2
"Knekkebrød, rug, grovt",100,7,1425,338,1.9,0.4,0,0,0.3,0.02,0,0.3,0.06,0.27,1.2,1.02,0.18,0,0,0,0,0,0,0,0.18,1.02,0,62,56,1.2,0,16,10,0.7,0,0,0,0,0,0.7,0.2,0.3,1.6,0.3,83,0,0,55,3.6,280,530,110,3.3,1,0.3,300,2
"Knekkebrød, rug, Husman",100,14,1348,319,1.1,0.1,0,0,0.05,0,0,0.1,0,0.05,0.2,0.15,0.02,0,0,0,0,0,0,0,0.02,0.15,0,62.3,60.6,1.7,0,14,7.8,1,0,0,0,0,0,0.5,0.31,0.16,1,0.21,57,0,0,39,2.2,410,510,87,2,2,0.3,300,2
"Knekkebrød, rug, Husman Sport",100,15,1345,319,1.9,0.3,0,0,0.23,0.01,0,0.2,0.01,0.2,0.9,0.74,0.11,0,0,0,0,0,0,0,0.11,0.74,0,57.3,56,1.3,0,16,10,1.3,0,0,0,0,0,0.7,0.22,0.1,1.1,0.31,67,0,0,55,3.4,500,530,110,3.1,1,0.36,325,6
